World_Cup,Player,Team,Goals,Matches,GoldenBoot,Other_Awards,Year
Uruguay 1930,Guillermo Stábile,Argentina,8.0,4.0,,Silver Ball,1930
Italy 1934,Oldřich Nejedlý,Czechoslovakia,5.0,4.0,,Bronze Ball,1934
France 1938,Leônidas,Brazil,7.0,4.0,,Golden Ball,1938
Brazil 1950,Ademir,Brazil,9.0,6.0,,Bronze Ball,1950
Switzerland 1954,Sándor Kocsis,Hungary,11.0,5.0,,Silver Ball,1954
Sweden 1958,Just Fontaine,France,13.0,6.0,,Bronze Ball,1958
Chile 1962,Garrincha,Brazil,4.0,6.0,,Golden Ball,1962
Vavá,Brazil,6,,,,,1962
Leonel Sánchez,Chile,6,,,,,1962
Flórián Albert,Hungary,3,,,,,1962
Valentin Ivanov,Soviet Union,4,,,,,1962
Dražan Jerković,Yugoslavia,6,,,,,1962
England 1966,Eusébio,Portugal,9.0,6.0,,Bronze Ball,1966
Mexico 1970,Gerd Müller,West Germany,10.0,6.0,,"Best Young Player, Bronze Ball",1970
West Germany 1974,Grzegorz Lato,Poland,7.0,7.0,,,1974
Argentina 1978,Mario Kempes,Argentina,6.0,7.0,,Golden Ball,1978
Spain 1982,Paolo Rossi,Italy,6.0,7.0,,Golden Ball,1982
Mexico 1986,Gary Lineker,England,6.0,5.0,,,1986
Italy 1990,Salvatore Schillaci,Italy,6.0,7.0,,Golden Ball,1990
United States 1994,Hristo Stoichkov,Bulgaria,6.0,7.0,,Bronze Ball,1994
Oleg Salenko,Russia,3,,,,,1994
France 1998,Davor Šuker,Croatia,6.0,7.0,,Silver Ball,1998
South Korea & Japan 2002,Ronaldo,Brazil,8.0,7.0,,Silver Ball,2002
Germany 2006,Miroslav Klose,Germany,5.0,7.0,,,2006
South Africa 2010,Thomas Müller,Germany,5.0,6.0,,Best Young Player,2010
Wesley Sneijder,Netherlands,7,,,,,2010
David Villa,Spain,7,,,,,2010
Diego Forlán,Uruguay,7,,,,,2010
Brazil 2014,James Rodríguez,Colombia,6.0,5.0,,,2014
Russia 2018,Harry Kane,England,6.0,6.0,,,2018
Qatar 2022,Kylian Mbappé,France,8.0,7.0,,Silver Ball,2022
