RoundID,MatchID,Team Initials,Coach Name,Line-up,Shirt Number,Player Name,Position,Event
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Alex THEPOT,GK,None
201,1096,MEX,LUQUE Juan (MEX),S,0,Oscar BONFIGLIO,GK,None
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Marcel LANGILLER,Unknown,G40'
201,1096,MEX,LUQUE Juan (MEX),S,0,Juan CARRENO,Unknown,G70'
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Ernest LIBERATI,Unknown,None
201,1096,MEX,LUQUE Juan (MEX),S,0,Rafael GARZA,C,None
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Andre MASCHINOT,Unknown,G43' G87'
201,1096,MEX,LUQUE Juan (MEX),S,0,Hilario LOPEZ,Unknown,None
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Etienne MATTLER,Unknown,None
201,1096,MEX,LUQUE Juan (MEX),S,0,Dionisio MEJIA,Unknown,None
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Marcel PINEL,Unknown,None
201,1096,MEX,LUQUE Juan (MEX),S,0,Felipe ROSAS,Unknown,None
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Alex VILLAPLANE,C,None
201,1096,MEX,LUQUE Juan (MEX),S,0,Manuel ROSAS,Unknown,None
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Lucien LAURENT,Unknown,G19'
201,1096,MEX,LUQUE Juan (MEX),S,0,Jose RUIZ,Unknown,None
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Marcel CAPELLE,Unknown,None
201,1096,MEX,LUQUE Juan (MEX),S,0,Alfredo SANCHEZ,Unknown,None
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Augustin CHANTREL,Unknown,None
201,1096,MEX,LUQUE Juan (MEX),S,0,Efrain AMEZCUA,Unknown,None
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Edmond DELFOUR,Unknown,None
201,1096,MEX,LUQUE Juan (MEX),S,0,Luis PEREZ,Unknown,None
201,1096,FRA,CAUDRON Raoul (FRA),N,0,Celestin DELMER,Unknown,None
201,1096,MEX,LUQUE Juan (MEX),N,0,Isidoro SOTA,Unknown,None
201,1096,FRA,CAUDRON Raoul (FRA),N,0,Andre TASSIN,Unknown,None
201,1096,MEX,LUQUE Juan (MEX),N,0,Jesus CASTRO,Unknown,None
201,1096,FRA,CAUDRON Raoul (FRA),N,0,Nouma ANDOIRE,Unknown,None
201,1096,MEX,LUQUE Juan (MEX),N,0,Felipe OLIVARES,Unknown,None
201,1096,FRA,CAUDRON Raoul (FRA),N,0,Jean LAURENT,Unknown,None
201,1096,MEX,LUQUE Juan (MEX),N,0,Raimundo RODRIGUEZ,Unknown,None
201,1096,FRA,CAUDRON Raoul (FRA),N,0,Emile VEINANTE,Unknown,None
201,1096,MEX,LUQUE Juan (MEX),N,0,Roberto GAYON,Unknown,None
201,1096,MEX,LUQUE Juan (MEX),N,0,Francisco GARZA GUTIERREZ,Unknown,None
201,1090,USA,MILLAR Bob (USA),S,0,Jimmy DOUGLAS,GK,None
